Bedrooms,Bathrooms,Toilets,ParkingSpace,PropertyType,State,SalePrice
4,4,5,3,Detached Duplex,Lagos,90000000.0
4,4,5,3,Semi Detached Duplex,Lagos,45000000.0
6,6,8,6,Detached Duplex,Lagos,1200000000.0
5,5,5,4,Detached Duplex,Lagos,200000000.0
5,5,6,3,Detached Duplex,Lagos,115000000.0
4,5,6,6,Detached Duplex,Lagos,110000000.0
4,4,5,4,Terraced Duplexes,Abuja,200000000.0
4,5,5,4,Terraced Duplexes,Lagos,50000000.0
2,2,3,1,Detached Bungalow,Lagos,12000000.0
4,5,5,4,Detached Duplex,Lagos,85000000.0
4,5,5,5,Detached Duplex,Abuja,145000000.0
9,9,9,6,Detached Duplex,Abuja,700000000.0
4,4,5,3,Detached Duplex,Lagos,70000000.0
3,4,4,4,Block of Flats,Abuja,35000000.0
4,5,5,3,Terraced Duplexes,Lagos,85000000.0
4,4,5,7,Detached Duplex,Abuja,75000000.0
4,4,5,3,Semi Detached Duplex,Lagos,85000000.0
4,5,5,4,Semi Detached Duplex,Lagos,150000000.0
5,5,6,5,Detached Duplex,Lagos,95000000.0
5,5,6,4,Detached Duplex,Lagos,120000000.0
4,4,5,2,Terraced Duplexes,Lagos,65000000.0
4,4,5,2,Semi Detached Duplex,Lagos,90000000.0
5,6,7,5,Detached Duplex,Lagos,120000000.0
3,4,4,3,Detached Bungalow,Lagos,22000000.0
5,5,5,4,Detached Duplex,Lagos,150000000.0
5,5,6,6,Semi Detached Duplex,Lagos,49000000.0
